Kod;Numer;X;Y;Adres;Strefa;stan;
B220115;17170907;20.99932396;52.23116098;al. Jana Pawła II(;jest na zero;brak;jest na zero
B220126;17170916;20.9938078;52.22997015;ul. Żelazna 28/30;jest na zero;brak;jest na zero
B220209;2220209;20.9997755;52.2274492;Al. Jerozolimskie v-v 87;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
B220210;2220210;20.998514925805;52.227249057917;Al. Jerozolimskie 56c;jest na zero;brak;jest na zero
B220212;17170927;20.99465475;52.22828043;ul. Żelazna 27;jest na zero;brak;jest na zero
B220214;2220214;20.995368619606;52.229253604863;ul. Złota 79;jest na zero;brak;jest na zero
B220216;2220216;20.997233551926;52.229685414078;ul. Złota 69;jest na zero;brak;jest na zero
B220220;17170919;20.99914617;52.23010538;ul. Złota 61;jest na zero;brak;jest na zero
C120101;3120101;21.019780075917;52.214654303922;ul. Polna 3;Wycięte szpilki;brak;Wycięte szpilki
C120105;11101804;21.01731328;52.21656804;ul. Polna 24;jest na zero;brak;jest na zero
C120112;11101815;21.01773245;52.21322007;ul. L. Waryńskiego;0;brak;0
C120203;11101807;21.0206213;52.21553743;ul. Marszałkowska 10/16;jest na zero;brak;jest na zero
C120204;11101805;21.02013438;52.21636865;ul. Marszałkowska 20/22;jest na zero;brak;jest na zero
C130109;3130109;21.021956318257;52.211656914413;ul. Skolimowska 3;Wycięte szpilki;brak;Wycięte szpilki
C130211;3130211;21.020935098886;52.207272889773;ul. Narbutta 4;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C130309;3130309;21.023569236757;52.208888351155;ul. Chocimska 9;jest na zero;brak;jest na zero
C180120;13070708;21.03224149;52.25210198;ul. Floriańska 8;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C180217;13070730;21.03847675;52.25067412;ul. Kępna 8;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C190103;3190103;20.985497548511;52.221587007814;ul. Grójecka 22-24;jest na zero;brak;jest na zero
C190120;3190120;20.980740026016;52.220090611681;ul. Kaliska 13;jest na zero;brak;jest na zero
C190129;3190129;20.98339901376;52.220430272241;ul. Poniecka;jest na zero;brak;jest na zero
C200105;3200105;21.022804365558;52.204025189524;ul. Puławska 40;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C200114;3200114;21.020292258284;52.202024353569;ul. Bałuckiego 27;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C200203;3200203;21.020851390756;52.201077255878;ul. Bałuckiego 19;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
C200207;3200207;21.023146707767;52.201533072425;ul. Puławska 54-56;Wycięte szpilki;brak;Wycięte szpilki
D230002;4230002;20.992791125067;52.2255682384;Al. Jerozolimskie 113-117;jest na zero;brak;jest na zero
D230003;4230003;20.993733392772;52.225645116101;Al. Jerozolimskie 113-117 Parking;jest na zero;brak;jest na zero
D230006;16050206;20.99289971;52.22456297;ul. Nowogrodzka 76;jest na zero;brak;jest na zero
D230012;4230012;20.994207617907;52.223523560748;ul. Koszykowa v-v 86;jest na zero;brak;jest na zero
E040101;11101106;21.00460866;52.22808217;Al. Jerozolimskie 65;jest na zero;brak;jest na zero
E040202;5040202;21.008071457474145;52.22893464111643;Al. Jerozolimskie 53;jest na zero;brak;jest na zero
E040228;5040228;21.007171251364;52.228664524819;Al. Jerozolimskie 57;Wycięte szpilki;brak;Wycięte szpilki
E090203;11100325;21.00737912;52.24950671;ul. Długa 9;jest na zero;brak;jest na zero
E090209;11100326;21.00863047;52.24952243;ul. Kilińskiego 3;jest na zero;brak;jest na zero
E090210;5090210;21.009024614349;52.249488207641;ul. Kilińskiego;jest na zero;brak;jest na zero
E090212;5090212;21.009548525674;52.248781133418;ul. Podwale 17;jest na zero;brak;jest na zero
E090217;5090217;21.011223439722;52.247904383699;ul. Podwale;jest na zero;brak;jest na zero
E090219;5090219;21.011742863364;52.247534646686;ul. Podwale 5;jest na zero;brak;jest na zero
E100102;5100102;20.99991939247;52.231516473629;ul. Sienna - Jana Pawła;jest na zero;brak;jest na zero
E100104;11100729;21.00099538;52.23173485;ul. Sienna 43;jest na zero;brak;jest na zero
E100105;5100105;21.001811563011;52.232113106519;ul. Śliska 3;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E100106;5100106;21.001595694658;52.232503015721;ul. Śliska (Apteka);wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E100107;5100107;21.000876419781;52.232225892487;ul. Śliska 8;jest na zero;brak;jest na zero
E100108;5100108;21.000109928671;52.232184570062;ul. Śliska 10;jest na zero;brak;jest na zero
E100109;5100109;21.002756026459;52.232290901483;ul. Sosnowa - Sienna;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E100110;5100110;21.0004296;52.2330531;ul. Pańska 7;jest na zero;brak;jest na zero
E100111;5100111;21.001256885487;52.233182327018;ul. Pańska 5;jest na zero;brak;jest na zero
E100207;11100731;21.00328165;52.23142027;ul. Emilii Plater 47;jest na zero;brak;jest na zero
E100212;5100212;21.0088753;52.229336;Al. Jerozolimskie;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E100302;5100302;21.0043646;52.2289211;ul. Emilii Plater Dw. Centralny;jest na zero;brak;jest na zero
E100303;5100303;21.004171936451;52.229281955607;ul. Emilii Plater Dw. Centralny;jest na zero;brak;jest na zero
E100306;5100306;21.001091151219;52.230644761966;ul. Złota 48/54;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E100309;5100309;21.003008498635;52.231032573494;ul. Złota 44;jest na zero;brak;jest na zero
E100310;5100310;21.004943111223;52.229074020202;ul. Emilii Plater Dw. Centralny;jest na zero;brak;jest na zero
E240002;5240002;21.006132440472;52.259913610256;ul. Słomińskiego rej. Mostu Gd;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E240006;5240006;21.00332145;52.25510502;ul. Konwiktorska 4;jest na zero;brak;jest na zero
E240011;5240011;21.009114378479;52.25617232997;ul. Sanguszki 35;jest na zero;brak;jest na zero
E240017;11100218;21.00063723;52.25321255;ul. Bonifraterska 10c;jest na zero;brak;jest na zero
E240018;11100216;21.00134547;52.25354654;ul. W. Dolańskiego 2;jest na zero;brak;jest na zero
E240032;5240032;21.009099801864;52.254078623783;ul. Kościelna Kościół;jest na zero;brak;jest na zero
E240048;11100332;21.01692877;52.24697309;ul. Nowy Zjazd;jest na zero;brak;jest na zero
E240049;11100311;21.01256027;52.25217414;ul. Boleść / Rybaki;jest na zero;brak;jest na zero
E240051;11100313;21.01187192;52.25174985;ul. Bugaj / Mostowa;jest na zero;brak;jest na zero
E240053;11100419;21.0003038;52.24501043;ul. Gen. W. Andersa;jest na zero;brak;jest na zero
E240057;11100334;21.01622431;52.24625319;ul. Boczna 3;jest na zero;brak;jest na zero
E240058;11100223;20.99996106;52.2516151;ul. Wałowa 6;jest na zero;brak;jest na zero
E240066;11100224;21.00091515;52.25136208;ul. Franciszkańska 18;jest na zero;brak;jest na zero
E240068;5240068;21.003439995492;52.250473666528;ul. Bonifraterska rej. Świętoj;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E240069;11100317;21.00338434;52.25100536;ul. Bonifraterska 6;jest na zero;brak;jest na zero
